,Unnamed: 0,OrderID,OrderDate,OrderTime,CustomerID,CustomerName,DishID,DishName,Category,Quantity,Price,Revenue,CostPrice,Profit,Feedback
0,0,O00001,01-02-2024,11:30,C0329,Wahaj Sayyad,61,Veg Spring Rolls,Starter,3,? 220.00, ? 660.00 , ? 162.00 ,? 174.00,The Veg Spring Rolls was cold when it arrived at our table.
1,1,O00002,01-02-2024,21:15,C0091,Aasin Nadaf,51,Tandoori Chicken,Non-Veg Main,5,? 460.00," ? 2,300.00 ", ? 366.00 ,? 470.00,The meat in the Tandoori Chicken was a bit tough and chewy.
2,2,O00003,01-02-2024,13:15,C0052,Shahrukh Sayyad,129,Smoked Chicken Sub,Snacks,3,? 160.00, ? 480.00 , ? 112.00 ,? 144.00,A satisfying meal. The Smoked Chicken Sub was a good choice.
3,3,O00004,01-02-2024,16:15,C0213,Aakib Ali,8,Paneer Butter Masala,Vegetarian,3,? 380.00," ? 1,140.00 ", ? 298.00 ,? 246.00,Loved the Paneer Butter Masala! It was a delightful and well-prepared vegetarian meal.
4,4,O00005,01-02-2024,12:15,C0089,Aasin Shaikh,106,Chicken Burger,Fast Food,3,? 160.00, ? 480.00 , ? 115.00 ,? 135.00,Great food! The Chicken Burger was delicious and well-prepared.
5,5,O00006,01-02-2024,16:00,C0160,Shahrukh Malik,54,Egg Biryani,Rice & Noodles,2,? 340.00, ? 680.00 , ? 268.00 ,? 144.00,Great food! The Egg Biryani was delicious and well-prepared.
6,6,O00007,02-02-2024,10:15,C0114,Imran Faruqi,115,Chicken Kathi Roll,Street Food,2,? 160.00, ? 320.00 , ? 112.00 ,? 96.00,It was an average Chicken Kathi Roll.
7,7,O00008,02-02-2024,19:15,C0271,Aasiya Mujawar,10,Pepperoni Pizza,Pizza,2,? 368.00, ? 736.00 , ? 283.00 ,? 170.00,A satisfying meal. The Pepperoni Pizza was a good choice.
8,8,O00009,02-02-2024,14:45,C0152,Dua Sayyad,98,Paneer Kathi Roll,Street Food,3,? 140.00, ? 420.00 , ? 103.00 ,? 111.00,The Paneer Kathi Roll could have been better.
9,9,O00010,02-02-2024,16:30,C0266,Aasifa Sayyad,102,Chicken Sub,Sandwiches,3,? 180.00, ? 540.00 , ? 137.00 ,? 129.00,The Chicken Sub was fine.
10,10,O00011,02-02-2024,14:15,C0005,Aasin Azam,37,Biryani Veg,Rice & Noodles,4,? 320.00," ? 1,280.00 ", ? 233.00 ,? 348.00,The Biryani Veg was excellent. Really enjoyed the meal.
11,11,O00012,02-02-2024,15:45,C0084,Imran Momin,91,Chana Masala,Main Course,1,? 260.00, ? 260.00 , ? 185.00 ,? 75.00,A satisfying meal. The Chana Masala was a good choice.
12,12,O00013,02-02-2024,21:45,C0181,Aman Khan,122,Falafel Wrap,Snacks,2,? 130.00, ? 260.00 , ? 102.00 ,? 56.00,Great food! The Falafel Wrap was delicious and well-prepared.
13,13,O00014,02-02-2024,22:45,C0235,Abdul Rahim Malik,85,Veg Thali,Meal Combo,2,? 360.00, ? 720.00 , ? 263.00 ,? 194.00,The Veg Thali was fine.
14,14,O00015,02-02-2024,21:15,C0133,Wahaj Ali,44,Hyderabadi Haleem,Non-Veg Main,3,? 500.00," ? 1,500.00 ", ? 395.00 ,? 315.00,The Hyderabadi Haleem was alright. It was cooked well but the flavor was average.
15,15,O00016,03-02-2024,13:00,C0289,Aasin Malik,60,Chicken Manchurian,Starter,3,? 280.00, ? 840.00 , ? 205.00 ,? 225.00,Absolutely loved the Chicken Manchurian! It was the perfect appetizer to get us started.
16,16,O00017,03-02-2024,12:15,C0263,Sher Raes,26,Pasta Alfredo,Continental,2,? 320.00, ? 640.00 , ? 249.00 ,? 142.00,The Pasta Alfredo was fine.
17,17,O00018,03-02-2024,19:15,C0054,Shamsher Ali,100,Veg Wrap,Sandwiches,3,? 130.00, ? 390.00 , ? 92.00 ,? 114.00,A satisfying meal. The Veg Wrap was a good choice.
18,18,O00019,03-02-2024,18:15,C0299,Aakib Shaikh,96,Club Sandwich,Sandwiches,4,? 160.00, ? 640.00 , ? 119.00 ,? 164.00,The Club Sandwich was excellent. Really enjoyed the meal.
19,19,O00020,03-02-2024,14:45,C0191,Imran Shikalkar,50,Jeera Rice,Rice & Noodles,4,? 180.00, ? 720.00 , ? 129.00 ,? 204.00,A satisfying meal. The Jeera Rice was a good choice.
20,20,O00021,03-02-2024,10:00,C0229,Aasin Khan,91,Chana Masala,Main Course,4,? 260.00," ? 1,040.00 ", ? 185.00 ,? 300.00,The Chana Masala could have been better.
21,21,O00022,03-02-2024,10:00,C0126,Aakib Momin,60,Chicken Manchurian,Starter,1,? 280.00, ? 280.00 , ? 205.00 ,? 75.00,"The Chicken Manchurian was decent, but nothing special."
22,22,O00023,03-02-2024,18:45,C0075,Rihan Raes,8,Paneer Butter Masala,Vegetarian,4,? 380.00," ? 1,520.00 ", ? 298.00 ,? 328.00,"It was an okay Paneer Butter Masala, but I've had better."
23,23,O00024,03-02-2024,13:30,C0048,Abdul Rahim Malik,106,Chicken Burger,Fast Food,5,? 160.00, ? 800.00 , ? 115.00 ,? 225.00,It was an average Chicken Burger.
24,24,O00025,03-02-2024,18:15,C0297,Wahaj Ali,89,Misal Pav,Snack,5,? 160.00, ? 800.00 , ? 126.00 ,? 170.00,The Misal Pav was excellent. Really enjoyed the meal.
25,25,O00026,03-02-2024,19:45,C0050,Dua Sayyad,33,Dal Tadka,Vegetarian,3,? 260.00, ? 780.00 , ? 183.00 ,? 231.00,A wholesome and delicious Dal Tadka. The vegetables were so fresh!
26,26,O00027,04-02-2024,19:15,C0301,Sher Taimoor,129,Smoked Chicken Sub,Snacks,4,? 160.00, ? 640.00 , ? 112.00 ,? 192.00,A satisfying meal. The Smoked Chicken Sub was a good choice.
27,27,O00028,04-02-2024,15:00,C0219,Isharat Nadaf,88,Vada Pav,Snack,5,? 120.00, ? 600.00 , ? 91.00 ,? 145.00,It was an average Vada Pav.
28,28,O00029,04-02-2024,22:45,C0095,Aakib Azam,109,Cheese Sandwich,Sandwiches,5,? 100.00, ? 500.00 , ? 72.00 ,? 140.00,A satisfying meal. The Cheese Sandwich was a good choice.
29,29,O00030,04-02-2024,14:30,C0206,Aariz Faruqi,116,Paneer Bhurji Sandwich,Snacks,5,? 75.00, ? 375.00 , ? 59.00 ,? 80.00,The Paneer Bhurji Sandwich was excellent. Really enjoyed the meal.
30,30,O00031,04-02-2024,21:30,C0188,Sher Raes,63,Chili Paneer,Starter,3,? 280.00, ? 840.00 , ? 219.00 ,? 183.00,The Chili Paneer was simply delicious and fresh. Highly recommended!
31,31,O00032,04-02-2024,21:30,C0218,Danish Khan,120,Peri Peri Chicken Wings,Snacks,5,? 180.00, ? 900.00 , ? 135.00 ,? 225.00,The Peri Peri Chicken Wings was excellent. Really enjoyed the meal.
32,32,O00033,04-02-2024,17:45,C0235,Abdul Rahim Malik,63,Chili Paneer,Starter,2,? 280.00, ? 560.00 , ? 219.00 ,? 122.00,Absolutely loved the Chili Paneer! It was the perfect appetizer to get us started.
