Order_ID,Customer_Name,Phone_Number,Email,State,City,Pincode,Menu_Item,Quantity,Price_Per_Item,Order_Date,Delivery_Mode,Payment_Method,Order_Status,Total_Price
ONL00001,Customer_1,+919380327606,customer1@example.com,Haryana,City_41,106558,Masala Dosa,5,260,2025-02-10,Home Delivery,Debit Card,Preparing,1300
ONL00002,Customer_2,+919851681208,customer2@example.com,Karnataka,City_13,761418,Momos,5,323,2025-04-26,Home Delivery,Credit Card,Pending,1615
ONL00003,Customer_3,+918868151968,customer3@example.com,Goa,City_22,215512,Rogan Josh,1,326,2025-01-08,Pickup,Debit Card,Preparing,326
ONL00004,Customer_4,+919321359517,customer4@example.com,Mizoram,City_29,750266,Fish Curry,4,348,2025-07-17,Pickup,Cash on Delivery,Pending,1392
ONL00005,Customer_5,+919184074840,customer5@example.com,Madhya Pradesh,City_32,381070,Fish Curry,2,413,2025-07-18,Pickup,Debit Card,Pending,826
ONL00006,Customer_6,+918907984215,customer6@example.com,Tripura,City_46,400367,Masala Dosa,1,478,2025-02-03,Pickup,Cash on Delivery,Delivered,478
ONL00007,Customer_7,+917876481456,customer7@example.com,Goa,City_15,605711,Rogan Josh,3,390,2025-05-06,Home Delivery,Net Banking,Out for Delivery,1170
ONL00008,Customer_8,+916312011379,customer8@example.com,Uttarakhand,City_7,701531,Rogan Josh,1,432,2025-03-23,Home Delivery,Net Banking,Preparing,432
ONL00009,Customer_9,+917997403503,customer9@example.com,Mizoram,City_26,139805,Rogan Josh,5,468,2025-04-20,Pickup,UPI,Pending,2340
ONL00010,Customer_10,+916045457378,customer10@example.com,Arunachal Pradesh,City_3,522840,Veg Pulao,2,355,2025-03-06,Home Delivery,Credit Card,Pending,710
ONL00011,Customer_11,+918279260141,customer11@example.com,Goa,City_29,141202,Momos,3,436,2025-02-18,Home Delivery,Net Banking,Out for Delivery,1308
ONL00012,Customer_12,+918996155322,customer12@example.com,Tripura,City_12,483323,Chole Bhature,2,436,2025-07-10,Pickup,Cash on Delivery,Delivered,872
ONL00013,Customer_13,+916665299247,customer13@example.com,Telangana,City_1,610778,Masala Dosa,2,152,2025-02-04,Pickup,Credit Card,Pending,304
ONL00014,Customer_14,+918015081866,customer14@example.com,Odisha,City_49,176753,Masala Dosa,2,354,2025-04-15,Home Delivery,Net Banking,Cancelled,708
ONL00015,Customer_15,+916790548334,customer15@example.com,Gujarat,City_24,613895,Rogan Josh,4,370,2025-01-16,Home Delivery,Cash on Delivery,Preparing,1480
ONL00016,Customer_16,+916243960975,customer16@example.com,Himachal Pradesh,City_4,476363,Rogan Josh,1,124,2025-05-28,Home Delivery,UPI,Delivered,124
ONL00017,Customer_17,+917187654589,customer17@example.com,Sikkim,City_38,885019,Fish Curry,5,350,2025-04-15,Pickup,Net Banking,Cancelled,1750
ONL00018,Customer_18,+918030847708,customer18@example.com,Karnataka,City_6,166832,Idli Sambar,4,287,2025-06-06,Home Delivery,Cash on Delivery,Preparing,1148
ONL00019,Customer_19,+918804314712,customer19@example.com,Meghalaya,City_32,501783,Paneer Butter Masala,5,445,2025-05-11,Home Delivery,UPI,Preparing,2225
ONL00020,Customer_20,+919436004213,customer20@example.com,Uttar Pradesh,City_27,853355,Pav Bhaji,1,233,2025-02-01,Pickup,Net Banking,Cancelled,233
ONL00021,Customer_21,+918730153077,customer21@example.com,Punjab,City_43,481460,Idli Sambar,3,493,2025-04-10,Home Delivery,UPI,Cancelled,1479
ONL00022,Customer_22,+917483695965,customer22@example.com,Delhi,City_18,261116,Chole Bhature,2,124,2025-05-06,Home Delivery,Credit Card,Delivered,248
ONL00023,Customer_23,+918700495668,customer23@example.com,Jharkhand,City_41,488629,Chicken Biryani,1,254,2025-02-11,Home Delivery,Net Banking,Delivered,254
ONL00024,Customer_24,+919750172459,customer24@example.com,Goa,City_11,487187,Idli Sambar,2,405,2025-06-10,Home Delivery,Debit Card,Cancelled,810
ONL00025,Customer_25,+919511809659,customer25@example.com,Rajasthan,City_8,769723,Rogan Josh,4,159,2025-02-28,Pickup,UPI,Out for Delivery,636
ONL00026,Customer_26,+918172436560,customer26@example.com,Haryana,City_42,344029,Chole Bhature,2,451,2025-04-17,Pickup,Debit Card,Cancelled,902
ONL00027,Customer_27,+916774929355,customer27@example.com,Uttar Pradesh,City_7,568569,Veg Pulao,1,480,2025-03-27,Home Delivery,Debit Card,Preparing,480
ONL00028,Customer_28,+916875958292,customer28@example.com,Punjab,City_41,789352,Chole Bhature,4,311,2025-01-08,Home Delivery,Credit Card,Preparing,1244
ONL00029,Customer_29,+917809271782,customer29@example.com,Rajasthan,City_30,513049,Fish Curry,5,320,2025-01-03,Home Delivery,UPI,Preparing,1600
ONL00030,Customer_30,+917536963318,customer30@example.com,Mizoram,City_19,605606,Momos,4,473,2025-07-08,Pickup,Net Banking,Delivered,1892
ONL00031,Customer_31,+916042611480,customer31@example.com,Uttar Pradesh,City_44,377098,Paneer Butter Masala,2,395,2025-06-21,Pickup,Debit Card,Cancelled,790
ONL00032,Customer_32,+919499706219,customer32@example.com,Gujarat,City_33,297099,Idli Sambar,2,348,2025-04-05,Home Delivery,Debit Card,Delivered,696
ONL00033,Customer_33,+917440938582,customer33@example.com,Telangana,City_49,934408,Idli Sambar,2,110,2025-06-25,Pickup,UPI,Pending,220
ONL00034,Customer_34,+919092858826,customer34@example.com,Punjab,City_36,782600,Rogan Josh,5,238,2025-04-10,Pickup,Debit Card,Preparing,1190
ONL00035,Customer_35,+918536405166,customer35@example.com,Rajasthan,City_17,755310,Chicken Biryani,4,355,2025-06-14,Home Delivery,Debit Card,Pending,1420
ONL00036,Customer_36,+917461594277,customer36@example.com,Tamil Nadu,City_3,313263,Rogan Josh,3,308,2025-04-12,Home Delivery,UPI,Out for Delivery,924
ONL00037,Customer_37,+916443570719,customer37@example.com,Jharkhand,City_36,618213,Pav Bhaji,4,158,2025-02-02,Pickup,UPI,Out for Delivery,632
ONL00038,Customer_38,+919494006967,customer38@example.com,Meghalaya,City_19,521524,Chicken Biryani,5,378,2025-03-14,Home Delivery,Credit Card,Pending,1890
ONL00039,Customer_39,+919277775049,customer39@example.com,Manipur,City_31,798832,Chole Bhature,5,425,2025-06-20,Pickup,Debit Card,Preparing,2125
ONL00040,Customer_40,+919209000492,customer40@example.com,Andhra Pradesh,City_36,353857,Veg Pulao,1,289,2025-05-14,Home Delivery,Cash on Delivery,Preparing,289
ONL00041,Customer_41,+917234649875,customer41@example.com,Himachal Pradesh,City_43,953430,Chole Bhature,5,143,2025-03-10,Pickup,Debit Card,Out for Delivery,715
ONL00042,Customer_42,+917581459027,customer42@example.com,Haryana,City_49,634809,Paneer Butter Masala,1,468,2025-01-08,Home Delivery,Net Banking,Delivered,468
ONL00043,Customer_43,+918070715756,customer43@example.com,Delhi,City_30,535115,Rogan Josh,2,105,2025-06-24,Home Delivery,Cash on Delivery,Cancelled,210
ONL00044,Customer_44,+917086049208,customer44@example.com,Telangana,City_28,176230,Rogan Josh,4,267,2025-02-07,Pickup,Cash on Delivery,Delivered,1068
ONL00045,Customer_45,+919934213647,customer45@example.com,Maharashtra,City_17,484458,Fish Curry,1,306,2025-06-13,Pickup,Credit Card,Pending,306
ONL00046,Customer_46,+918118283786,customer46@example.com,Manipur,City_29,724867,Veg Pulao,1,400,2025-01-06,Home Delivery,Credit Card,Pending,400
ONL00047,Customer_47,+918143680553,customer47@example.com,Punjab,City_34,710830,Rogan Josh,5,260,2025-01-17,Home Delivery,Credit Card,Pending,1300
ONL00048,Customer_48,+919561677628,customer48@example.com,Chhattisgarh,City_47,372015,Veg Pulao,5,272,2025-03-03,Home Delivery,Net Banking,Cancelled,1360
ONL00049,Customer_49,+919978504033,customer49@example.com,Uttar Pradesh,City_39,448838,Momos,2,423,2025-06-17,Pickup,Net Banking,Cancelled,846
ONL00050,Customer_50,+919266895710,customer50@example.com,Puducherry,City_5,322902,Pav Bhaji,5,255,2025-03-30,Home Delivery,Net Banking,Cancelled,1275
ONL00051,Customer_51,+916057561267,customer51@example.com,Mizoram,City_3,716049,Chicken Biryani,1,197,2025-06-09,Pickup,Net Banking,Delivered,197
ONL00052,Customer_52,+916983386429,customer52@example.com,Manipur,City_9,347157,Chicken Biryani,4,204,2025-04-29,Home Delivery,UPI,Delivered,816
ONL00053,Customer_53,+918867631430,customer53@example.com,Nagaland,City_16,885752,Pav Bhaji,1,416,2025-03-17,Home Delivery,Debit Card,Cancelled,416
ONL00054,Customer_54,+918875456963,customer54@example.com,Madhya Pradesh,City_25,655694,Pav Bhaji,4,399,2025-04-25,Home Delivery,Cash on Delivery,Preparing,1596
ONL00055,Customer_55,+917349558047,customer55@example.com,Maharashtra,City_13,427796,Paneer Butter Masala,1,498,2025-06-21,Pickup,Credit Card,Delivered,498
ONL00056,Customer_56,+919275746021,customer56@example.com,Maharashtra,City_24,941231,Veg Pulao,2,238,2025-03-31,Home Delivery,Cash on Delivery,Delivered,476
ONL00057,Customer_57,+916669823348,customer57@example.com,Tripura,City_16,627584,Chole Bhature,4,314,2025-06-04,Pickup,Credit Card,Pending,1256
ONL00058,Customer_58,+918354646157,customer58@example.com,Meghalaya,City_37,658090,Paneer Butter Masala,2,213,2025-03-16,Pickup,Cash on Delivery,Cancelled,426
ONL00059,Customer_59,+919815241637,customer59@example.com,Arunachal Pradesh,City_31,979303,Fish Curry,2,303,2025-05-14,Pickup,Cash on Delivery,Cancelled,606
ONL00060,Customer_60,+919931438477,customer60@example.com,Assam,City_7,605581,Fish Curry,3,284,2025-01-05,Pickup,Net Banking,Out for Delivery,852
