OrderID,OrderDate,OrderTime,CustomerID,CustomerName,DishID,DishName,Category,Quantity,Price,Revenue,CostPrice,Profit,Feedback
O00001,01-02-2024,11:30,C0329,Wahaj Sayyad,R71,Veg Spring Rolls,Starter,3,? 220.00, ? 660.00 , ? 162.00 ,? 174.00,The Veg Spring Rolls was cold when it arrived at our table.
O00002,01-02-2024,21:15,C0091,Aasin Nadaf,R56,Tandoori Chicken,Non-Veg Main,5,? 460.00," ? 2,300.00 ", ? 366.00 ,? 470.00,The meat in the Tandoori Chicken was a bit tough and chewy.
O00003,01-02-2024,13:15,C0052,Shahrukh Sayyad,R166,Smoked Chicken Sub,Snacks,3,? 160.00, ? 480.00 , ? 112.00 ,? 144.00,A satisfying meal. The Smoked Chicken Sub was a good choice.
O00004,01-02-2024,16:15,C0213,Aakib Ali,R8,Paneer Butter Masala,Vegetarian,3,? 380.00," ? 1,140.00 ", ? 298.00 ,? 246.00,Loved the Paneer Butter Masala! It was a delightful and well-prepared vegetarian meal.
O00005,01-02-2024,12:15,C0089,Aasin Shaikh,R143,Chicken Burger,Fast Food,3,? 160.00, ? 480.00 , ? 115.00 ,? 135.00,Great food! The Chicken Burger was delicious and well-prepared.
O00006,01-02-2024,16:00,C0160,Shahrukh Malik,R60,Egg Biryani,Rice & Noodles,2,? 340.00, ? 680.00 , ? 268.00 ,? 144.00,Great food! The Egg Biryani was delicious and well-prepared.
O00007,02-02-2024,10:15,C0114,Imran Faruqi,R136,Chicken Kathi Roll,Street Food,2,? 160.00, ? 320.00 , ? 112.00 ,? 96.00,It was an average Chicken Kathi Roll.
O00008,02-02-2024,19:15,C0271,Aasiya Mujawar,R10,Pepperoni Pizza,Pizza,2,? 368.00, ? 736.00 , ? 283.00 ,? 170.00,A satisfying meal. The Pepperoni Pizza was a good choice.
O00009,02-02-2024,14:45,C0152,Dua Sayyad,R135,Paneer Kathi Roll,Street Food,3,? 140.00, ? 420.00 , ? 103.00 ,? 111.00,The Paneer Kathi Roll could have been better.
O00010,02-02-2024,16:30,C0266,Aasifa Sayyad,R139,Chicken Sub,Sandwiches,3,? 180.00, ? 540.00 , ? 137.00 ,? 129.00,The Chicken Sub was fine.
O00011,02-02-2024,14:15,C0005,Aasin Azam,R38,Biryani Veg,Rice & Noodles,4,? 320.00," ? 1,280.00 ", ? 233.00 ,? 348.00,The Biryani Veg was excellent. Really enjoyed the meal.
O00012,02-02-2024,15:45,C0084,Imran Momin,R124,Chana Masala,Main Course,1,? 260.00, ? 260.00 , ? 185.00 ,? 75.00,A satisfying meal. The Chana Masala was a good choice.
O00013,02-02-2024,21:45,C0181,Aman Khan,R159,Falafel Wrap,Snacks,2,? 130.00, ? 260.00 , ? 102.00 ,? 56.00,Great food! The Falafel Wrap was delicious and well-prepared.
O00014,02-02-2024,22:45,C0235,Abdul Rahim Malik,R111,Veg Thali,Meal Combo,2,? 360.00, ? 720.00 , ? 263.00 ,? 194.00,The Veg Thali was fine.
O00015,02-02-2024,21:15,C0133,Wahaj Ali,R47,Hyderabadi Haleem,Non-Veg Main,3,? 500.00," ? 1,500.00 ", ? 395.00 ,? 315.00,The Hyderabadi Haleem was alright. It was cooked well but the flavor was average.
O00016,03-02-2024,13:00,C0289,Aasin Malik,R68,Chicken Manchurian,Starter,3,? 280.00, ? 840.00 , ? 205.00 ,? 225.00,Absolutely loved the Chicken Manchurian! It was the perfect appetizer to get us started.
O00017,03-02-2024,12:15,C0263,Sher Raes,R26,Pasta Alfredo,Continental,2,? 320.00, ? 640.00 , ? 249.00 ,? 142.00,The Pasta Alfredo was fine.
O00018,03-02-2024,19:15,C0054,Shamsher Ali,R137,Veg Wrap,Sandwiches,3,? 130.00, ? 390.00 , ? 92.00 ,? 114.00,A satisfying meal. The Veg Wrap was a good choice.
O00019,03-02-2024,18:15,C0299,Aakib Shaikh,R133,Club Sandwich,Sandwiches,4,? 160.00, ? 640.00 , ? 119.00 ,? 164.00,The Club Sandwich was excellent. Really enjoyed the meal.
O00020,03-02-2024,14:45,C0191,Imran Shikalkar,R55,Jeera Rice,Rice & Noodles,4,? 180.00, ? 720.00 , ? 129.00 ,? 204.00,A satisfying meal. The Jeera Rice was a good choice.
O00021,03-02-2024,10:00,C0229,Aasin Khan,R124,Chana Masala,Main Course,4,? 260.00," ? 1,040.00 ", ? 185.00 ,? 300.00,The Chana Masala could have been better.
O00022,03-02-2024,10:00,C0126,Aakib Momin,R68,Chicken Manchurian,Starter,1,? 280.00, ? 280.00 , ? 205.00 ,? 75.00,"The Chicken Manchurian was decent, but nothing special."
O00023,03-02-2024,18:45,C0075,Rihan Raes,R8,Paneer Butter Masala,Vegetarian,4,? 380.00," ? 1,520.00 ", ? 298.00 ,? 328.00,"It was an okay Paneer Butter Masala, but I've had better."
O00024,03-02-2024,13:30,C0048,Abdul Rahim Malik,R143,Chicken Burger,Fast Food,5,? 160.00, ? 800.00 , ? 115.00 ,? 225.00,It was an average Chicken Burger.
O00025,03-02-2024,18:15,C0297,Wahaj Ali,R119,Misal Pav,Snack,5,? 160.00, ? 800.00 , ? 126.00 ,? 170.00,The Misal Pav was excellent. Really enjoyed the meal.
O00026,03-02-2024,19:45,C0050,Dua Sayyad,R34,Dal Tadka,Vegetarian,3,? 260.00, ? 780.00 , ? 183.00 ,? 231.00,A wholesome and delicious Dal Tadka. The vegetables were so fresh!
O00027,04-02-2024,19:15,C0301,Sher Taimoor,R166,Smoked Chicken Sub,Snacks,4,? 160.00, ? 640.00 , ? 112.00 ,? 192.00,A satisfying meal. The Smoked Chicken Sub was a good choice.
O00028,04-02-2024,15:00,C0219,Isharat Nadaf,R117,Vada Pav,Snack,5,? 120.00, ? 600.00 , ? 91.00 ,? 145.00,It was an average Vada Pav.
O00029,04-02-2024,22:45,C0095,Aakib Azam,R146,Cheese Sandwich,Sandwiches,5,? 100.00, ? 500.00 , ? 72.00 ,? 140.00,A satisfying meal. The Cheese Sandwich was a good choice.
O00030,04-02-2024,14:30,C0206,Aariz Faruqi,R153,Paneer Bhurji Sandwich,Snacks,5,? 75.00, ? 375.00 , ? 59.00 ,? 80.00,The Paneer Bhurji Sandwich was excellent. Really enjoyed the meal.
O00031,04-02-2024,21:30,C0188,Sher Raes,R73,Chili Paneer,Starter,3,? 280.00, ? 840.00 , ? 219.00 ,? 183.00,The Chili Paneer was simply delicious and fresh. Highly recommended!
O00032,04-02-2024,21:30,C0218,Danish Khan,R157,Peri Peri Chicken Wings,Snacks,5,? 180.00, ? 900.00 , ? 135.00 ,? 225.00,The Peri Peri Chicken Wings was excellent. Really enjoyed the meal.
O00033,04-02-2024,17:45,C0235,Abdul Rahim Malik,R73,Chili Paneer,Starter,2,? 280.00, ? 560.00 , ? 219.00 ,? 122.00,Absolutely loved the Chili Paneer! It was the perfect appetizer to get us started.
O00034,04-02-2024,17:45,C0083,Isharat Mujawar,R16,Ice Cream Sundae,Dessert,3,? 200.00, ? 600.00 , ? 143.00 ,? 171.00,The Ice Cream Sundae could have been better.
O00035,04-02-2024,17:30,C0326,Aman Sayyad,R11,Margherita Pizza,Pizza,3,? 330.00, ? 990.00 , ? 231.00 ,? 297.00,The Margherita Pizza could have been better.
O00036,04-02-2024,16:45,C0250,Isharat Azam,R46,Onion Uttapam,Vegetarian,4,? 160.00, ? 640.00 , ? 112.00 ,? 192.00,The vegetables in the Onion Uttapam seemed overcooked.
O00037,04-02-2024,21:30,C0183,Imran Mujawar,R21,Chicken Fried Rice,Rice & Noodles,3,? 240.00, ? 720.00 , ? 182.00 ,? 174.00,I was not a fan of the Chicken Fried Rice.
O00038,04-02-2024,17:45,C0023,Shamsher Faruqi,R100,Biryani (Veg),Rice,1,? 320.00, ? 320.00 , ? 251.00 ,? 69.00,I was not a fan of the Biryani (Veg).
O00039,04-02-2024,17:00,C0105,Aakib Nadaf,R62,Dal Makhani,Vegetarian,1,? 340.00, ? 340.00 , ? 269.00 ,? 71.00,Loved the Dal Makhani! It was a delightful and well-prepared vegetarian meal.
O00040,05-02-2024,21:00,C0197,Arahan Ali,R67,Veg Manchurian,Starter,3,? 240.00, ? 720.00 , ? 169.00 ,? 213.00,Absolutely loved the Veg Manchurian! It was the perfect appetizer to get us started.
O00041,05-02-2024,16:30,C0320,Sultan Momin,R116,Uttapam,South Indian,3,? 220.00, ? 660.00 , ? 170.00 ,? 150.00,The Uttapam was not what I expected.
O00042,05-02-2024,21:30,C0175,Aasiya Momin,R12,Veggie Burger,Burger,4,? 250.00," ? 1,000.00 ", ? 199.00 ,? 204.00,The Veggie Burger was not what I expected.
O00043,05-02-2024,16:00,C0281,Abdul Rahim Faruqi,R89,Fried Momos (Chicken),Starter,2,? 240.00, ? 480.00 , ? 176.00 ,? 128.00,The Fried Momos (Chicken) was okay. It was a standard appetizer.
O00044,05-02-2024,12:45,C0181,Aman Khan,R38,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,Great food! The Biryani Veg was delicious and well-prepared.
O00045,05-02-2024,21:30,C0169,Anis Taimoor,R124,Chana Masala,Main Course,1,? 260.00, ? 260.00 , ? 185.00 ,? 75.00,It was an average Chana Masala.
O00046,05-02-2024,17:15,C0268,Ayeza Azam,R59,Veg Pulao,Rice & Noodles,5,? 240.00," ? 1,200.00 ", ? 190.00 ,? 250.00,The Veg Pulao met my expectations.
O00047,05-02-2024,14:15,C0102,Aasifa Taimoor,R71,Veg Spring Rolls,Starter,5,? 220.00," ? 1,100.00 ", ? 162.00 ,? 290.00,The Veg Spring Rolls was simply delicious and fresh. Highly recommended!
O00048,05-02-2024,13:30,C0273,Aasin Mujawar,R7,Butter Chicken,Meat Special,3,? 495.00," ? 1,485.00 ", ? 349.00 ,? 438.00,It was an average Butter Chicken.
O00049,05-02-2024,21:15,C0034,Anis Raes,R162,BBQ Chicken Pizza Sandwich,Snacks,1,? 160.00, ? 160.00 , ? 115.00 ,? 45.00,Great food! The BBQ Chicken Pizza Sandwich was delicious and well-prepared.
O00050,05-02-2024,17:15,C0233,Moh Saad Nadaf,R154,Egg Mayo Sandwich,Snacks,1,? 85.00, ? 85.00 , ? 66.00 ,? 19.00,I was not a fan of the Egg Mayo Sandwich.
O00051,05-02-2024,21:45,C0068,Abdul Rahim Shaikh,R9,Palak Paneer,Vegetarian,4,? 360.00," ? 1,440.00 ", ? 273.00 ,? 348.00,The Palak Paneer is a great choice for vegetarians. Hearty and full of flavor.
O00052,06-02-2024,15:15,C0132,Sultan Momin,R53,Baingan Bharta,Vegetarian,2,? 260.00, ? 520.00 , ? 195.00 ,? 130.00,The Baingan Bharta was as expected.
O00053,06-02-2024,16:15,C0262,Nikhat Faruqi,R85,Veg Momos,Starter,3,? 180.00, ? 540.00 , ? 138.00 ,? 126.00,Absolutely loved the Veg Momos! It was the perfect appetizer to get us started.
O00054,06-02-2024,14:00,C0169,Anis Taimoor,R43,Idli Sambar,Vegetarian,5,? 160.00, ? 800.00 , ? 119.00 ,? 205.00,A wholesome and delicious Idli Sambar. The vegetables were so fresh!
O00055,06-02-2024,19:45,C0295,Sultan Taimoor,R137,Veg Wrap,Sandwiches,4,? 130.00, ? 520.00 , ? 92.00 ,? 152.00,The Veg Wrap could have been better.
O00056,06-02-2024,11:15,C0252,Moh Saad Faruqi,R38,Biryani Veg,Rice & Noodles,5,? 320.00," ? 1,600.00 ", ? 233.00 ,? 435.00,The Biryani Veg was excellent. Really enjoyed the meal.
O00057,06-02-2024,22:30,C0228,Isharat Momin,R103,Fish Curry (Goan),Main Course,3,? 380.00," ? 1,140.00 ", ? 289.00 ,? 273.00,The Fish Curry (Goan) was excellent. Really enjoyed the meal.
O00058,07-02-2024,21:15,C0095,Aakib Azam,R90,Tandoori Momos,Starter,5,? 260.00," ? 1,300.00 ", ? 185.00 ,? 375.00,The Tandoori Momos was a fantastic start to our meal! Perfectly crispy.
O00059,07-02-2024,15:30,C0126,Aakib Momin,R75,Schezwan Fried Rice,Rice & Noodles,5,? 220.00," ? 1,100.00 ", ? 160.00 ,? 300.00,Great food! The Schezwan Fried Rice was delicious and well-prepared.
O00060,07-02-2024,19:15,C0297,Wahaj Ali,R3,Chicken Soup,Starter,1,? 220.00, ? 220.00 , ? 170.00 ,? 50.00,Wasn't very impressed with the Chicken Soup. It lacked flavor.
O00061,07-02-2024,14:15,C0245,Wahaj Taimoor,R45,Medu Vada,Vegetarian,1,? 150.00, ? 150.00 , ? 112.00 ,? 38.00,"It was an okay Medu Vada, but I've had better."
O00062,07-02-2024,16:00,C0079,Shahrukh Faruqi,R143,Chicken Burger,Fast Food,2,? 160.00, ? 320.00 , ? 115.00 ,? 90.00,The Chicken Burger was excellent. Really enjoyed the meal.
O00063,07-02-2024,20:15,C0113,Ayeza Momin,R83,Veg Clear Soup,Starter,5,? 120.00, ? 600.00 , ? 84.00 ,? 180.00,The Veg Clear Soup was a fantastic start to our meal! Perfectly crispy.
O00064,07-02-2024,14:00,C0038,Moh Saad Malik,R128,Matar Paneer,Main Course,2,? 340.00, ? 680.00 , ? 263.00 ,? 154.00,The Matar Paneer could have been better.
O00065,07-02-2024,18:15,C0102,Aasifa Taimoor,R135,Paneer Kathi Roll,Street Food,5,? 140.00, ? 700.00 , ? 103.00 ,? 185.00,I was not a fan of the Paneer Kathi Roll.
O00066,07-02-2024,22:30,C0236,Aakib Khan,R147,Paneer Sandwich,Sandwiches,1,? 120.00, ? 120.00 , ? 84.00 ,? 36.00,The Paneer Sandwich met my expectations.
O00067,07-02-2024,17:00,C0244,Arahan Raes,R132,Garlic Naan,Breads,5,? 70.00, ? 350.00 , ? 54.00 ,? 80.00,Great food! The Garlic Naan was delicious and well-prepared.
O00068,07-02-2024,11:30,C0176,Abdul Rahim Shikalkar,R72,Chicken Spring Rolls,Starter,1,? 260.00, ? 260.00 , ? 189.00 ,? 71.00,The Chicken Spring Rolls was a bit too oily for my liking.
O00069,07-02-2024,12:15,C0041,Aakib Shaikh,R68,Chicken Manchurian,Starter,1,? 280.00, ? 280.00 , ? 205.00 ,? 75.00,The Chicken Manchurian was simply delicious and fresh. Highly recommended!
O00070,07-02-2024,20:45,C0290,Isharat Raes,R131,Butter Naan,Breads,1,? 60.00, ? 60.00 , ? 45.00 ,? 15.00,It was an average Butter Naan.
O00071,08-02-2024,22:30,C0153,Nikhat Malik,R50,Kadai Paneer,Vegetarian,5,? 360.00," ? 1,800.00 ", ? 275.00 ,? 425.00,The Kadai Paneer was a decent vegetarian option.
